Time,device,humidity,temperature,Target
"April 27, 2023 at 07:37PM",Sensor_data,59,31,hot_and_dry
"April 27, 2023 at 07:52PM",Sensor_data,60,31,hot_and_dry
"April 27, 2023 at 08:07PM",Sensor_data,59,28,cool_and_dry
"April 27, 2023 at 08:22PM",Sensor_data,58,28,cool_and_dry
"April 27, 2023 at 08:37PM",Sensor_data,56,27,cool_and_dry
"April 27, 2023 at 08:52PM",Sensor_data,59,27,cool_and_dry
"April 27, 2023 at 09:06PM",Sensor_data,73,25,cool_and_humid
"April 27, 2023 at 09:57PM",Sensor_data,76,28,cool_and_humid
"April 27, 2023 at 10:12PM",Sensor_data,75,28,cool_and_humid
"April 27, 2023 at 10:27PM",Sensor_data,73,28,cool_and_humid
"April 27, 2023 at 10:42PM",Sensor_data,76,28,cool_and_humid
"April 27, 2023 at 10:57PM",Sensor_data,76,28,cool_and_humid
"April 27, 2023 at 11:20PM",Sensor_data,76,28,cool_and_humid
"April 27, 2023 at 11:35PM",Sensor_data,74,28,cool_and_humid
"April 27, 2023 at 11:50PM",Sensor_data,73,28,cool_and_humid
"April 28, 2023 at 12:05AM",Sensor_data,71,28,cool_and_humid
"April 28, 2023 at 12:20AM",Sensor_data,71,28,cool_and_humid
"April 28, 2023 at 12:35AM",Sensor_data,71,28,cool_and_humid
"April 28, 2023 at 12:50AM",Sensor_data,71,28,cool_and_humid
"April 28, 2023 at 01:05AM",Sensor_data,72,28,cool_and_humid
"April 28, 2023 at 01:20AM",Sensor_data,72,28,cool_and_humid
"April 28, 2023 at 01:35AM",Sensor_data,72,28,cool_and_humid
"April 28, 2023 at 01:50AM",Sensor_data,72,28,cool_and_humid
"April 28, 2023 at 02:05AM",Sensor_data,72,28,cool_and_humid
"April 28, 2023 at 02:20AM",Sensor_data,71,27,cool_and_humid
"April 28, 2023 at 02:35AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 02:50AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 03:05AM",Sensor_data,73,27,cool_and_humid
"April 28, 2023 at 03:20AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 03:35AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 03:50AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 04:05AM",Sensor_data,71,27,cool_and_humid
"April 28, 2023 at 04:35AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 04:50AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 05:05AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 05:20AM",Sensor_data,73,27,cool_and_humid
"April 28, 2023 at 05:35AM",Sensor_data,73,27,cool_and_humid
"April 28, 2023 at 05:50AM",Sensor_data,74,27,cool_and_humid
"April 28, 2023 at 06:05AM",Sensor_data,75,26,cool_and_humid
"April 28, 2023 at 06:20AM",Sensor_data,77,26,cool_and_humid
"April 28, 2023 at 06:35AM",Sensor_data,77,26,cool_and_humid
"April 28, 2023 at 06:50AM",Sensor_data,76,26,cool_and_humid
"April 28, 2023 at 07:05AM",Sensor_data,75,26,cool_and_humid
"April 28, 2023 at 07:20AM",Sensor_data,75,26,cool_and_humid
"April 28, 2023 at 07:35AM",Sensor_data,76,26,cool_and_humid
"April 28, 2023 at 07:50AM",Sensor_data,78,26,cool_and_humid
"April 28, 2023 at 08:05AM",Sensor_data,79,26,cool_and_humid
"April 28, 2023 at 08:20AM",Sensor_data,78,26,cool_and_humid
"April 28, 2023 at 08:35AM",Sensor_data,78,26,cool_and_humid
"April 28, 2023 at 08:50AM",Sensor_data,78,26,cool_and_humid
"April 28, 2023 at 09:05AM",Sensor_data,77,26,cool_and_humid
"April 28, 2023 at 09:20AM",Sensor_data,77,26,cool_and_humid
"April 28, 2023 at 09:35AM",Sensor_data,77,26,cool_and_humid
"April 28, 2023 at 09:50AM",Sensor_data,76,26,cool_and_humid
"April 28, 2023 at 10:05AM",Sensor_data,76,26,cool_and_humid
"April 28, 2023 at 10:20AM",Sensor_data,75,26,cool_and_humid
"April 28, 2023 at 10:35AM",Sensor_data,74,26,cool_and_humid
"April 28, 2023 at 10:50AM",Sensor_data,73,27,cool_and_humid
"April 28, 2023 at 11:05AM",Sensor_data,74,27,cool_and_humid
"April 28, 2023 at 11:20AM",Sensor_data,72,27,cool_and_humid
"April 28, 2023 at 11:35AM",Sensor_data,71,27,cool_and_humid
"April 28, 2023 at 11:50AM",Sensor_data,69,27,cool_and_humid
"April 28, 2023 at 12:05PM",Sensor_data,68,28,cool_and_humid
"April 28, 2023 at 12:20PM",Sensor_data,68,28,cool_and_humid
"April 28, 2023 at 12:35PM",Sensor_data,66,28,cool_and_humid
"April 28, 2023 at 12:51PM",Sensor_data,64,28,cool_and_humid
"April 28, 2023 at 01:06PM",Sensor_data,65,28,cool_and_humid
"April 28, 2023 at 01:21PM",Sensor_data,61,28,cool_and_humid
"April 28, 2023 at 01:36PM",Sensor_data,62,28,cool_and_humid
"April 28, 2023 at 01:51PM",Sensor_data,61,29,cool_and_humid
"April 28, 2023 at 02:06PM",Sensor_data,61,29,cool_and_humid
"April 28, 2023 at 02:21PM",Sensor_data,59,29,cool_and_dry
"April 28, 2023 at 02:36PM",Sensor_data,60,29,cool_and_dry
"April 28, 2023 at 03:04PM",Sensor_data,58,29,cool_and_dry
"April 28, 2023 at 03:19PM",Sensor_data,60,29,cool_and_dry
"April 28, 2023 at 03:34PM",Sensor_data,53,30,cool_and_dry
"April 28, 2023 at 03:49PM",Sensor_data,51,30,cool_and_dry
"April 28, 2023 at 04:04PM",Sensor_data,51,31,hot_and_dry
"April 28, 2023 at 04:19PM",Sensor_data,53,31,hot_and_dry
"April 28, 2023 at 04:34PM",Sensor_data,54,30,cool_and_dry
"April 28, 2023 at 04:49PM",Sensor_data,54,30,cool_and_dry
"April 28, 2023 at 05:04PM",Sensor_data,53,30,cool_and_dry
"April 28, 2023 at 05:19PM",Sensor_data,53,30,cool_and_dry
"April 28, 2023 at 05:34PM",Sensor_data,53,30,cool_and_dry
"April 28, 2023 at 05:49PM",Sensor_data,55,30,cool_and_dry
"April 28, 2023 at 06:04PM",Sensor_data,55,30,cool_and_dry
"April 28, 2023 at 06:19PM",Sensor_data,54,30,cool_and_dry
"April 28, 2023 at 06:34PM",Sensor_data,58,30,cool_and_dry
"April 28, 2023 at 06:49PM",Sensor_data,60,30,cool_and_dry
"April 28, 2023 at 07:05PM",Sensor_data,61,30,cool_and_humid
"April 28, 2023 at 07:20PM",Sensor_data,63,30,cool_and_humid
"April 28, 2023 at 07:35PM",Sensor_data,64,30,cool_and_humid
"April 28, 2023 at 07:50PM",Sensor_data,65,30,cool_and_humid
"April 28, 2023 at 08:05PM",Sensor_data,67,30,cool_and_humid
"April 28, 2023 at 08:20PM",Sensor_data,69,30,cool_and_humid
"April 28, 2023 at 08:35PM",Sensor_data,62,30,cool_and_humid
"April 28, 2023 at 08:50PM",Sensor_data,62,29,cool_and_humid
"April 28, 2023 at 09:05PM",Sensor_data,62,29,cool_and_humid
"April 28, 2023 at 09:20PM",Sensor_data,62,29,cool_and_humid
"April 28, 2023 at 09:35PM",Sensor_data,62,29,cool_and_humid
"April 28, 2023 at 09:50PM",Sensor_data,62,29,cool_and_humid
"April 28, 2023 at 10:05PM",Sensor_data,62,29,cool_and_humid
"April 28, 2023 at 10:20PM",Sensor_data,61,29,cool_and_humid
"April 28, 2023 at 10:35PM",Sensor_data,60,29,cool_and_dry
"April 28, 2023 at 10:50PM",Sensor_data,60,29,cool_and_dry
"April 28, 2023 at 11:05PM",Sensor_data,61,28,cool_and_humid
"April 28, 2023 at 11:20PM",Sensor_data,62,28,cool_and_humid
"April 28, 2023 at 11:35PM",Sensor_data,62,28,cool_and_humid
"April 28, 2023 at 11:50PM",Sensor_data,63,28,cool_and_humid
"April 29, 2023 at 12:05AM",Sensor_data,61,28,cool_and_humid
"April 29, 2023 at 12:20AM",Sensor_data,61,28,cool_and_humid
"April 29, 2023 at 12:35AM",Sensor_data,60,28,cool_and_dry
"April 29, 2023 at 12:50AM",Sensor_data,61,28,cool_and_humid
"April 29, 2023 at 01:05AM",Sensor_data,60,28,cool_and_dry
"April 29, 2023 at 01:20AM",Sensor_data,61,28,cool_and_humid
"April 29, 2023 at 01:35AM",Sensor_data,61,28,cool_and_humid
"April 29, 2023 at 01:50AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 02:05AM",Sensor_data,69,28,cool_and_humid
"April 29, 2023 at 02:20AM",Sensor_data,69,28,cool_and_humid
"April 29, 2023 at 02:35AM",Sensor_data,69,28,cool_and_humid
"April 29, 2023 at 02:50AM",Sensor_data,70,27,cool_and_humid
"April 29, 2023 at 03:05AM",Sensor_data,71,28,cool_and_humid
"April 29, 2023 at 03:20AM",Sensor_data,70,27,cool_and_humid
"April 29, 2023 at 03:35AM",Sensor_data,69,27,cool_and_humid
"April 29, 2023 at 03:50AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 04:05AM",Sensor_data,69,27,cool_and_humid
"April 29, 2023 at 04:20AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 04:35AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 04:50AM",Sensor_data,69,27,cool_and_humid
"April 29, 2023 at 05:05AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 05:20AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 05:35AM",Sensor_data,69,27,cool_and_humid
"April 29, 2023 at 05:50AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 06:05AM",Sensor_data,68,27,cool_and_humid
"April 29, 2023 at 06:20AM",Sensor_data,67,27,cool_and_humid
